time,wx,wy,wz
13.238338232040405,0.53,-1.18,0.92
13.247902154922485,0.46,-0.69,0.77
13.257870197296143,0.35,-0.2,0.68
13.26797103881836,0.27,0.11,0.67
13.277934074401855,0.23,0.21,0.68
13.287907123565674,0.21,0.26,0.78
13.297747135162354,0.19,0.38,0.84
13.307520151138306,0.27,0.69,0.74
13.324527263641357,0.34,1.09,0.56
13.327425003051758,0.28,1.29,0.37
13.337281227111816,0.15,1.01,0.21
13.347340106964111,0.03,0.46,0.16
13.357056140899658,0.03,0.04,0.08
13.367074012756348,0.1,0.03,-0.1
13.377082347869873,0.16,0.25,-0.39
13.386893272399902,0.2,0.3,-0.57
13.397058010101318,0.15,0.06,-0.62
13.406859159469604,0.02,-0.38,-0.65
13.42424201965332,-0.13,-0.82,-0.57
13.426765203475952,-0.2,-0.98,-0.36
13.437165260314941,-0.18,-0.71,-0.23
13.4465970993042,-0.13,-0.16,-0.24
13.456536293029785,-0.07,0.39,-0.25
13.466591119766235,-0.03,0.73,-0.14
13.476383209228516,0.01,0.84,-0.05
13.486274242401123,0.07,0.82,-0.07
13.496313095092773,0.1,0.78,-0.1
13.506255149841309,0.12,0.72,-0.11
13.524230003356934,0.15,0.55,-0.14
13.52710223197937,0.16,0.28,-0.18
13.535885334014893,0.15,-0.02,-0.19
13.545777320861816,0.15,-0.26,-0.2
13.556007146835327,0.09,-0.27,-0.21
13.565636157989502,-0.03,-0.09,-0.16
13.575653076171875,-0.1,0.19,-0.09
13.585445165634155,-0.19,0.47,-0.04
13.595617294311523,-0.35,0.55,0.04
13.605387210845947,-0.46,0.35,0.18
13.6221342086792,-0.53,-0.05,0.34
13.62514615058899,-0.56,-0.37,0.45
13.63525104522705,-0.54,-0.38,0.46
13.645424127578735,-0.48,-0.03,0.43
13.655083179473877,-0.41,0.48,0.36
13.6649751663208,-0.29,0.83,0.26
13.674923181533813,-0.21,0.91,0.17
13.684816122055054,-0.23,0.67,0.14
13.694858074188232,-0.19,0.22,0.14
13.704637050628662,-0.09,-0.15,0.12
13.715932130813599,0.01,-0.25,0.06
13.733717203140259,0.09,-0.19,-0.1
13.736210346221924,0.12,-0.15,-0.22
13.74443531036377,0.11,-0.22,-0.22
13.754285335540771,0.12,-0.39,-0.16
13.764358043670654,0.15,-0.51,-0.09
13.774014234542847,0.16,-0.51,-0.03
13.784114122390747,0.17,-0.39,0.04
13.794162273406982,0.19,-0.2,0.11
13.803889274597168,0.23,-0.01,0.15
13.815209150314331,0.26,0.15,0.14
13.832563161849976,0.25,0.23,0.13
13.835015296936035,0.22,0.2,0.12
13.843562126159668,0.24,0.05,0.11
13.85358715057373,0.26,-0.13,0.1
13.863595008850098,0.2,-0.3,0.09
13.873485088348389,0.16,-0.44,0.08
13.883267164230347,0.16,-0.45,0.06
13.893425226211548,0.17,-0.31,0.03
13.903043270111084,0.18,-0.07,-0.03
13.91366720199585,0.19,0.17,-0.11
13.932330131530762,0.17,0.27,-0.16
13.934707164764404,0.13,0.15,-0.18
13.94309115409851,0.1,-0.11,-0.17
13.95293116569519,0.03,-0.37,-0.14
13.962913036346436,-0.03,-0.52,-0.12
13.972630023956299,-0.07,-0.52,-0.1
13.982605218887329,-0.06,-0.36,-0.1
13.992626190185547,-0.05,-0.13,-0.08
14.004035234451294,-0.02,0.07,-0.04
14.012701034545898,-0.03,0.15,-0.04
14.031963348388672,-0.02,0.15,-0.06
14.03420615196228,-0.02,0.15,-0.06
14.042479038238525,-0.05,0.2,-0.09
14.052303314208984,-0.06,0.25,-0.2
14.062171220779419,-0.1,0.23,-0.33
14.071957111358643,-0.17,0.09,-0.41
14.081959247589111,-0.23,-0.17,-0.45
14.0921950340271,-0.24,-0.42,-0.47
14.10164213180542,-0.24,-0.57,-0.47
14.11201000213623,-0.25,-0.6,-0.45
14.13283920288086,-0.22,-0.3,-0.31
14.133546352386475,-0.22,-0.3,-0.31
14.141385078430176,-0.2,0.15,-0.29
14.151283264160156,-0.2,0.71,-0.35
14.161458015441895,-0.22,1.12,-0.46
14.171423196792603,-0.28,1.07,-0.58
14.18111801147461,-0.36,0.52,-0.63
14.191237211227417,-0.46,-0.27,-0.62
14.20099401473999,-0.5,-0.93,-0.61
14.211068153381348,-0.48,-1.13,-0.6
14.228599071502686,-0.47,-0.83,-0.6
14.230640172958374,-0.48,-0.14,-0.61
14.240831136703491,-0.49,0.59,-0.63
14.25066614151001,-0.49,0.96,-0.68
